distance,speed_limit,traffic_factor,road_penalty,travel_time,route_cost
31.509355030082467,60,1.209856699614471,0.5,1.8905613018049479,1.4082376607868152
325.63716993728804,50,1.1087537643279335,0.7,23.44587623548474,12.19556424704075
17.64053854240796,30,1.3650175910214715,1.2,2.116864625088955,1.7079375898509188
156.01055833407946,40,1.25044483216697,0.9,14.040950250067151,7.575608574683667
613.2826585818068,60,1.2341178035410032,0.5,36.79695951490841,18.868715098516507
275.07501034602717,40,1.4545147693403102,0.9,24.756750931142445,12.994729896373315
676.9677564186445,60,1.2730448919262114,0.5,40.61806538511867,20.7909461601372
1509.2292116845292,50,1.1304285914202958,0.7,108.6645032412861,54.81138019806914
250.60437171721196,30,1.4531530918111621,1.2,30.072524606065432,15.712208230576065
82.68404278106239,40,1.1634087487471316,0.9,7.441563850295615,4.249804549771946
121.71117762074994,30,1.331182784882162,1.2,14.60534131448999,7.942025492709644
104.8511132057822,40,1.377409879646513,0.9,9.436600188520398,5.311523058154153
55.593937740428196,40,1.1619411863577385,0.9,5.003454396638538,3.0303095542265903
246.8405040786956,30,1.319302590411989,1.2,29.62086048944347,15.446221021845332
74.12925795681532,40,1.4424479970007855,0.9,6.67163321611338,3.9485510071569254
86.60206406718524,40,1.3952236662714474,0.9,7.794185766046672,4.49565998290477
91.35935065060723,50,1.177154217714244,0.7,6.57787324684372,3.782082888736133
115.25520065954179,50,1.3062429893565681,0.7,8.298374447487008,4.681060120550474
88.96271196826423,40,1.514243705505022,0.9,8.00664407714378,4.6375951502233965
132.0280350059143,50,1.1022745658873214,0.7,9.506018520425828,5.22369162997911
28.26598921211061,50,1.3820367381414829,0.7,2.035151223271964,1.5721866330784267
70.63394642841213,50,1.3443487882458793,0.7,5.085644142845673,3.0861267078966006
16.567436101138288,50,1.2190876807812971,0.7,1.1928553992819566,1.1021540038753674
645.5496501860414,50,1.1544178249341237,0.7,46.479574813394976,23.726112754177727
100.48862344286765,50,1.4350245752723734,0.7,7.235180887886471,4.188097816524947
90.36094476971304,40,1.301467545300682,0.9,8.132485029274175,4.636682778227292
159.8883977139281,50,1.132461045183052,0.7,11.511964635402823,6.235720631256327
153.68525950891456,30,1.2580298261000784,1.2,18.442231141069744,9.838524518364895
11.984499037868511,50,1.3966230282216108,0.7,0.8628839307265328,0.9904288738297496
631.0555236788553,50,1.3113041109784118,0.7,45.43599770487758,23.251390085732314
29.131897426028466,50,1.382494895646033,0.7,2.0974966146740495,1.6034967760308345
183.33603262665247,40,1.478379304012218,0.9,16.500242936398724,8.873635259403027
19.430922910018047,50,1.2876798320091454,0.7,1.3990264495212994,1.2258171743633932
24.80969838335359,50,1.4405905173927795,0.7,1.7862982836014585,1.465326297018563
306.60479862412507,50,1.2324870320229238,0.7,22.075545500937004,11.54751886007538
6.357387648687583,50,1.2932142209456294,0.7,0.45773191070550595,0.7568302216364418
12.706892269934771,50,1.3902916324885481,0.7,0.9148962434353035,1.0145356114642161
120.23169410052103,50,1.316481913327486,0.7,8.656681975237513,4.863285561617002
179.4162489849344,50,1.401597415108772,0.7,12.917969926915278,7.019464187990271
